Year Purchased,Model,Number,Authority,Request data
2010,Switch Box,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Lightwriter,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Switch Box,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2011,iPod Touch/ Case/ i Tunes Vouchers,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2011,Smartbox Software & Joycable,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2011,Go Talk 4+,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2011,Dynavox System,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2005,Alphatalkers,3,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Bluebird,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Cardinal,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Chatbox,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Dynavox – DV4,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Flash Deluxe,4,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Futurepad with Grid,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Go Talk 9,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Go Talk 20,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Hummingbird,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Lib Talk,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Pocket Grid System,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,SL35 Printer,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Techspeaks,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Vanguard,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2005,Voice Cue,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Chickadee,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Dynamo,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Dynavox – V Max,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Go Talk 9,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Go Talk 20,3,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Leo,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Mini Mo,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Pocket Go Talk,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Pocket Grid Upgrade,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Randomiser,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,SL35 Printer,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2006,Vantage,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Dynamo,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Futurepad,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Go Talk 9,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Go Talk 20,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Liberator 14,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Motion Tablet,4,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Pocket Go Talk,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,SL35,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,SL87,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,SmartNav ,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2007,Supertalker,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Dynavox – V Max,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Go Talk 20,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Powerbox 6,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,SL40,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,SmartNav Pro,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Springboard Lite,3,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Talk Trac Plus,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2008,Tobii 10,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Big Mac,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Big Points,5,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,FL4SH Scanning Communicator,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Go Talk 9+,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Go Talk 20+,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Go Talk Express 32,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Headmouse Extreme,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Hummingbird,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Ipod/Pro-LoquoGo,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Little Mac,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Megabee,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Nintendo/Tap 2 Talk,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Pocket Go Talk,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,SL40,4,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,SmartNav Pro,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Springboard Lite,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Super Talker,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Voice Pal,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Big Points,10,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Go Talk 9+,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Go Talk 20+,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Headmouse Extreme,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Maestro,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Powerbox 7,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Pocket Go Talk,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,SmartNav,1,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Viliv 5,2,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2010,Viliv s70,3,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new
2009,Geemarc CLA9T Digital Personal Communicators ,50,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010,Zoomtext magnifier 9.1 USB D/S ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010,PenFriend Labelling Pen ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010,Olympus Digital Recorder ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010,Sennheiser Headphones ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2005/06 ,Pathfinder ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2005/06 ,Servox artificial larynx ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2005/06 ,Crescendo personal communication system ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2006/07 ,Say it Sam Tablet PC ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2006/07 ,User licence for The Grid software ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2006/07 ,Laptop computers for use with The Grid ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2006/07 ,Ecovoice amplifiers ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Servox artificial larynx ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Dynamo with back up for Windows ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Say it Sam handheld communicator ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Vantage ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Bee-bot ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Talking Photo Album ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Base Trainer ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Switch adapted fan ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Switch Adapted toys ,6,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Sensory switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Go Talk 20 ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Go Talk 9 ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2007/08 ,Go Talk 4 ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Megabee ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Lightwriter SL35 ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Laptop computers ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,user licence for the Grid 2 ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Warranty for Pathfinder ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,switches ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,4 Talk 4 ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Scan 4 ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,All Turn it Spinner ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Bigmack ,7,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Little Mack ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Big Step ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Little Step ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,iT alk2 ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Buddy button ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Big Red switch ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Jelly Bean ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Specs switch ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Tash soft switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Switch latch and timer ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Powerlink2 ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Large Palpad ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Mini Palpad ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Small Palpad ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Pneumatic switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Big Buddy ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Dynamo ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Springboard Lite ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Powerball switch adapted toy ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008/09 ,Firefly switch adapted toy ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Lightwriter SL40 ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Talking Photo albums ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Springboard Lites ,3,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Pingpong switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,joy cables for the Grid ,5,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Warranty for Pathfinder ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Powerlink2 ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Step by step ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Big Mack ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Switch adapted toy ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Mount for Vantage ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2009/10 ,Joy Cable ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11,Protable Induction loop unites ,50,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11,Counter Amplifiers,100,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11,Fixed loop systems,7,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11,Infra Red Systesm,30,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11,Doubel infra red system,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,i-pod bundle with Proloquo2go ,6,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,i-phone bundle with proloquo2go ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,i-pads with predictable and proloquo2go ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,The grid2 (5 user licence) ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,kensington orbital trackball ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Marble mouse ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Joy cables ,2,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Power link ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Blue tooth switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Futurepad ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Switches ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Optical joystick mouse ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Air o2bic mouse ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,pal pad switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Headmouse Extreme ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Warranty for pathfinder ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Jelly bean switch ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Switch adapted toy ,1,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Talking Photo Album ,10,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Big Mack ,6,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2010/11 ,Little Mack ,4,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new
2008,Listen to me,1,NHS ORKNEY,http://www.whatdotheyknow.com/request/aac_provision_12/new
2009,Boardmaker windows version 6 ,1,NHS Shetland,http://www.whatdotheyknow.com/request/aac_provision_13/new
2010,iPod with proloquo2go  ,1,NHS Shetland,http://www.whatdotheyknow.com/request/aac_provision_13/new
2008,USB alphabet keyguard,1,NHS Western Isles,http://www.whatdotheyknow.com/request/aac_provision_14/new
2009,Talking Mats,2,NHS Western Isles,http://www.whatdotheyknow.com/request/aac_provision_14/new
2009,Ablenet Powerlink,1,NHS Western Isles,http://www.whatdotheyknow.com/request/aac_provision_14/new
2008,Boardmaker windows version 6 ,1,NHS Western Isles,http://www.whatdotheyknow.com/request/aac_provision_14/new
2006,Lightwriter SL35,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Servox Artificial Larynx ,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Mighty MO (dynavox) ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Tech Speak 32 (6 levels) ,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Tech Scan 32 (4 levels) ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,iTalk2,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Tech Scan 8,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Chaiyo Amplifier ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Lightwriter SL35,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Pocket Go talk,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Tech Speak 32 (12 levels),1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2006,Tech Speak 32 (6 levels),1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2007,Springboard Lite (liberator) ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2007,Big Mack,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2007,Dynavox V Max,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2007, GoTalk20+,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2007,Lightwriter sl35,2,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Springboard Lite,3,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Servox Artificail larynx ,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Pocket go talk,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Go Talk 9,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,Go Talk 20,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
2008,SuperTalker,1,Ayrshire and Arran NHS Board,http://www.whatdotheyknow.com/request/aac_provision_2/new
